date,open,high,low,close,volume,turnover,change
2025-07-22,28.7,28.7,27.26,27.75,409599,0,0.0
2025-07-23,27.9,28.65,27.8,28.65,357157,0,0.89
2025-07-24,29.24,29.89,28.55,28.55,1285158,0,-0.1
2025-07-25,28.6,31.37,28.55,30.63,4694383,0,2.08
2025-07-28,32.51,32.61,30.78,31.77,6713561,0,1.14
2025-07-29,32.07,34.64,31.92,32.71,8022843,0,0.94
2025-07-30,32.71,33.65,32.12,33.06,4848536,0,0.35
2025-07-31,33.21,33.4,31.97,32.02,1836279,0,-1.04
2025-08-04,32.86,34.4,32.41,33.9,4619463,0,1.88
2025-08-05,33.6,34.64,33.26,34.05,4577855,0,0.15
2025-08-06,34.1,34.54,33.5,33.95,3343105,0,-0.1
2025-08-07,34.1,34.1,32.86,33.5,1968307,0,-0.45
2025-08-08,33.7,34.44,33.21,33.85,2249087,0,0.35
2025-08-11,34.2,37.22,33.8,37.22,6994629,0,3.37
2025-08-12,38.11,40.64,37.77,38.81,14459106,0,1.59
2025-08-13,39.0,39.75,37.67,38.01,5489762,0,-0.79
2025-08-14,38.31,38.66,37.72,37.77,2316470,0,-0.25
2025-08-15,37.77,38.56,37.62,38.01,2383375,0,0.25
2025-08-18,39.5,40.94,39.25,40.24,8084587,0,2.23
2025-08-19,39.95,40.0,38.76,39.15,4078936,0,-1.09
2025-08-20,39.2,39.95,37.57,39.4,3022576,0,0.25
2025-08-21,40.64,42.77,40.64,41.38,8544546,0,1.98
2025-08-22,41.04,43.42,40.49,40.49,8738975,0,-0.89
2025-08-25,41.48,42.57,40.99,42.13,4814910,0,1.64
2025-08-26,43.42,46.09,43.32,45.3,16004573,0,3.17
2025-08-27,46.29,46.34,44.6,44.6,7693922,0,-0.69
2025-08-28,44.7,45.89,44.11,44.11,3926410,0,-0.5
2025-08-29,44.21,44.7,43.22,43.32,3341569,0,-0.79
2025-09-01,44.21,45.15,42.77,42.82,4849686,0,-0.5
2025-09-02,43.27,43.32,41.48,42.42,2441702,0,-0.4
2025-09-03,42.62,44.41,42.52,44.06,3301647,0,1.64
2025-09-04,44.46,45.0,42.32,42.52,3658456,0,-1.54
2025-09-05,42.72,43.51,41.98,42.13,1574668,0,-0.4
2025-09-08,42.57,42.77,41.53,42.47,1300204,0,0.35
2025-09-09,42.72,45.4,42.52,43.61,5174415,0,1.14
2025-09-10,43.76,44.7,42.92,43.12,1987317,0,-0.5
2025-09-11,43.22,43.22,41.73,42.72,1971239,0,-0.4
2025-09-12,42.72,44.8,42.67,44.11,4378905,0,1.39
2025-09-15,44.31,44.6,42.97,43.02,2793732,0,-1.09
2025-09-16,43.22,43.22,41.83,42.97,1852487,0,-0.05
2025-09-17,43.17,44.56,43.17,43.76,2955605,0,0.79
2025-09-18,44.16,46.34,42.13,42.23,6905873,0,-1.54
2025-09-19,42.23,42.57,41.68,42.03,1657685,0,-0.2
2025-09-22,42.47,45.3,42.08,44.26,6745551,0,2.23
2025-09-23,44.56,44.56,42.23,42.77,3447626,0,-1.49
2025-09-24,43.22,43.81,42.92,43.12,1841220,0,0.35
2025-09-25,43.12,43.56,42.47,42.97,1229362,0,-0.15
2025-09-26,42.77,42.82,40.44,40.69,2560018,0,-2.28
2025-09-30,40.69,41.73,40.44,41.73,1326099,0,1.04
2025-10-01,41.83,42.72,40.94,40.99,1327138,0,-0.74
2025-10-02,41.63,41.83,39.15,39.15,2196600,0,-1.83
2025-10-03,39.5,40.24,39.15,39.3,1348269,0,0.15
2025-10-07,39.45,39.9,38.86,39.1,863416,0,-0.2
2025-10-08,39.6,39.6,38.51,38.66,658059,0,-0.45
2025-10-09,39.45,40.19,39.25,40.14,1555305,0,1.49
2025-10-13,38.06,40.44,37.86,39.85,1241607,0,-0.3
2025-10-14,39.85,40.44,38.51,38.81,917114,0,-1.04
2025-10-15,39.35,39.65,39.05,39.6,541215,0,0.79
2025-10-16,39.75,40.59,39.5,39.5,814243,0,-0.1
2025-10-17,39.5,39.5,38.26,38.66,1000030,0,-0.84
2025-10-20,38.66,38.95,38.21,38.81,423562,0,0.15
2025-10-21,38.95,39.6,38.71,38.95,654350,0,0.15
2025-10-22,38.91,39.5,38.66,38.76,250025,0,-0.2
2025-10-23,38.66,38.76,38.06,38.26,348323,0,-0.5
2025-10-27,38.66,38.91,37.86,38.36,506019,0,0.1
2025-10-28,38.71,38.86,37.67,37.81,449068,0,-0.55
2025-10-29,38.41,38.41,37.17,37.37,734300,0,-0.45
2025-10-30,37.96,38.51,37.17,37.17,538115,0,-0.2
2025-10-31,37.52,37.67,36.97,36.97,332881,0,-0.2
2025-11-03,37.12,38.31,36.48,37.17,615343,0,0.2
2025-11-04,37.27,38.16,37.07,37.07,496158,0,-0.1
2025-11-05,37.17,37.27,36.18,36.43,477080,0,-0.64
2025-11-06,36.53,36.82,36.28,36.68,407657,0,0.25
2025-11-07,36.68,36.68,35.73,36.13,351038,0,-0.55
2025-11-10,36.28,36.92,35.73,36.92,369019,0,0.79
2025-11-11,36.72,36.92,35.68,35.68,549518,0,-1.24
2025-11-12,35.49,36.33,35.49,35.93,444012,0,0.25
2025-11-13,36.03,36.53,35.68,36.18,330138,0,0.25
2025-11-14,36.13,36.38,34.94,34.94,582102,0,-1.24
