symbol,name,market,market_tw,category,yf_suffix,yf_ticker
0015,富邦,other_securities,其他,其他證券,-,-
0050,元大台灣50,etf,ETF,domestic_etf,-,-
0051,元大中型100,etf,ETF,domestic_etf,-,-
0052,富邦科技,etf,ETF,domestic_etf,-,-
0053,元大電子,etf,ETF,domestic_etf,-,-
0054,元大台商50,other_securities,其他,其他證券,-,-
0055,元大MSCI金融,etf,ETF,domestic_etf,-,-
0056,元大高股息,etf,ETF,domestic_etf,-,-
0057,富邦摩台,etf,ETF,domestic_etf,-,-
0058,富邦發達,other_securities,其他,其他證券,-,-
0059,富邦金融,other_securities,其他,其他證券,-,-
0060,新台灣,other_securities,其他,其他證券,-,-
0061,元大寶滬深,etf,ETF,foreign_etf,-,-
006201,元大富櫃50,other_securities,其他,其他證券,-,-
006202,寶富盈,other_securities,其他,其他證券,-,-
006203,元大MSCI台灣,etf,ETF,domestic_etf,-,-
006204,永豐臺灣加權,etf,ETF,domestic_etf,-,-
006205,富邦上証,other_securities,其他,其他證券,-,-
006206,元大上證50,etf,ETF,foreign_etf,-,-
006207,復華滬深,etf,ETF,foreign_etf,-,-
006208,富邦台50,etf,ETF,domestic_etf,-,-
00625K,富邦上証+R,other_securities,其他,其他證券,-,-
00631L,元大台灣50正2,etf,ETF,leveraged_etf,-,-
00632R,元大台灣50反1,etf,ETF,leveraged_etf,-,-
00633L,富邦上証正2,etf,ETF,leveraged_etf,-,-
00634R,富邦上証反1,etf,ETF,leveraged_etf,-,-
00635U,期元大S&P黃金,etf,ETF,vanilla_futures_etf,-,-
00636,國泰中國A50,other_securities,其他,其他證券,-,-
00636K,國泰中國A50+U,other_securities,其他,其他證券,-,-
00637L,元大滬深300正2,etf,ETF,leveraged_etf,-,-
00638R,元大滬深300反1,etf,ETF,leveraged_etf,-,-
00639,富邦深100,etf,ETF,foreign_etf,-,-
00640L,富邦日本正2,etf,ETF,leveraged_etf,-,-
00641R,富邦日本反1,etf,ETF,leveraged_etf,-,-
