symbol,date,close,K,D,DIF,MACD,OSC,RSI,OBV,MA3,MA6,MA12
1101,2026-09-01,23.9,58.5,57.0,-1.448,-1.742,0.293,44.3,535278451743.0,24.2,23.85,23.52
1102,2026-09-01,35.0,58.5,40.4,-0.67,-0.58,-0.09,50.8,159433028612.0,34.18,33.29,33.61
1103,2026-09-01,13.05,50.2,48.0,-0.669,-0.739,0.07,40.0,-9295895967.0,13.12,13.02,13.13
1104,2026-09-01,26.85,34.8,36.4,0.551,0.892,-0.341,52.4,509135014.0,26.77,26.56,27.44
1108,2026-09-01,11.1,12.9,27.5,-0.142,0.223,-0.365,34.4,-1608176391.0,11.58,12.29,13.09
1109,2026-09-01,13.4,11.7,19.3,-0.442,-0.284,-0.158,36.5,91472878.0,13.55,13.75,14.16
1110,2026-09-01,15.55,54.2,42.0,-0.831,-0.776,-0.054,42.0,110601235546.0,15.88,15.41,15.72
1201,2026-09-01,12.0,12.5,12.1,-1.352,-1.185,-0.167,20.0,41079294521.0,12.15,12.12,13.2
1203,2026-09-01,43.2,64.6,71.4,1.04,0.483,0.557,55.5,4157511670.0,44.72,43.64,41.3
1210,2026-09-01,51.8,45.6,39.2,0.902,0.971,-0.07,54.6,54850404020.0,52.05,51.48,50.25
1213,2026-09-01,7.19,7.3,9.4,-0.733,-0.141,-0.593,31.2,1102547956.0,7.24,7.88,9.04
1215,2026-09-01,107.5,16.4,28.3,5.521,9.738,-4.217,48.1,20585435476.0,106.33,114.87,124.59
1216,2026-09-01,74.6,59.5,45.7,0.74,0.815,-0.075,55.5,-743471534982.0,74.87,71.99,71.86
1217,2026-09-01,9.96,43.8,35.4,-0.24,-0.197,-0.043,43.0,27432758633.0,9.97,9.89,10.03
1218,2026-09-01,14.3,20.3,31.7,-1.071,-0.923,-0.147,31.8,61392426663.0,14.92,16.28,16.74
1219,2026-09-01,11.25,19.2,19.2,-0.99,-0.888,-0.102,29.5,13614647157.0,11.37,11.96,12.54
1220,2026-09-01,10.75,5.2,9.6,-0.759,-0.535,-0.224,31.5,481258359.0,10.9,11.29,11.92
1225,2026-09-01,24.95,14.9,18.4,-7.638,-7.832,0.195,37.3,5910402794.0,25.48,27.81,28.81
1227,2026-09-01,28.3,45.0,34.3,-1.483,-1.675,0.191,41.0,896520454.0,28.8,28.13,28.54
1229,2026-09-01,40.35,46.4,42.2,-1.435,-1.21,-0.225,44.1,61294673535.0,40.83,39.83,41.77
1231,2026-09-01,80.0,36.3,25.8,-1.532,1.69,-3.222,44.9,-26395481941.0,80.67,78.92,82.71
1232,2026-09-01,153.5,47.4,50.4,5.058,4.027,1.031,65.6,11670452212.0,155.0,148.06,143.93
1233,2026-09-01,27.95,21.9,25.9,-0.827,-0.533,-0.294,39.3,-105423794.0,28.4,28.24,29.78
1234,2026-09-01,33.15,30.5,28.8,-0.546,-0.055,-0.491,39.2,16870114596.0,33.37,33.32,34.41
1235,2026-09-01,37.1,14.2,14.6,-7.979,-6.373,-1.605,38.1,42014028696.0,36.98,38.44,41.8
1236,2026-09-01,25.85,68.0,63.1,1.009,0.742,0.266,63.1,1181345545.0,25.37,24.54,24.4
1240,2026-09-01,55.2,53.8,43.8,3.429,3.777,-0.347,70.8,53608623.0,54.05,53.28,53.33
1256,2026-09-01,172.0,57.2,58.2,1.266,-6.668,7.934,52.4,24622316.0,178.83,177.49,160.54
