date,open,high,low,close,volume,turnover,change
2000-01-03,7.98,9.1,7.98,8.58,40965000,0,0.0
2000-01-10,8.75,9.61,8.71,9.1,42716777,0,0.51
2000-01-17,8.93,10.3,8.8,10.13,34585796,0,1.03
2000-01-24,10.13,11.16,9.44,11.16,28650353,0,1.03
2000-01-31,11.84,13.48,11.8,13.05,21096374,0,1.89
2000-02-07,13.05,15.19,12.36,15.19,23456499,0,2.15
2000-02-14,15.02,16.05,13.73,14.25,26032298,0,-0.94
2000-02-21,13.65,15.88,13.39,15.62,27700493,0,1.37
2000-02-28,15.62,15.96,13.73,14.76,17685767,0,-0.86
2000-03-06,16.48,20.26,16.14,18.71,61449223,0,3.95
2000-03-13,18.02,18.02,14.42,15.53,25672236,0,-3.18
2000-03-20,15.53,18.88,15.02,18.28,28001147,0,2.75
2000-03-27,18.2,19.65,16.05,17.25,40010244,0,-1.03
2000-04-03,17.25,19.74,17.25,19.74,23640276,0,2.49
2000-04-10,21.97,22.57,20.0,20.0,21703315,0,0.26
2000-04-17,19.91,21.2,17.34,20.08,23710727,0,0.09
2000-04-24,19.91,19.91,16.31,18.11,10773591,0,-1.97
2000-05-01,18.11,18.2,14.08,15.45,9941551,0,-2.66
2000-05-08,15.45,16.65,15.19,16.14,10026269,0,0.69
2000-05-15,16.48,17.51,15.53,16.82,11427576,0,0.69
2000-05-22,22.19,22.77,18.86,20.23,9978869,0,3.41
2000-05-29,19.15,22.19,19.15,21.9,6316940,0,1.67
2000-06-05,21.61,21.76,19.58,19.73,7033461,0,-2.18
2000-06-12,20.02,23.21,19.44,22.92,22341716,0,3.19
2000-06-19,22.92,22.92,20.89,21.47,8894858,0,-1.45
2000-06-26,21.47,21.47,17.12,17.7,14292752,0,-3.77
2000-07-03,17.7,17.7,17.7,17.7,0,0,0.0
2000-07-10,17.7,17.7,17.7,17.7,0,0,0.0
2000-07-17,17.7,17.7,17.7,17.7,0,0,0.0
2000-07-24,17.7,17.7,17.7,17.7,0,0,0.0
2000-07-31,17.7,17.7,17.7,17.7,0,0,0.0
2000-08-07,17.7,17.7,17.7,17.7,0,0,0.0
2000-08-14,17.7,17.7,17.7,17.7,0,0,0.0
2000-08-21,17.7,17.7,17.7,17.7,0,0,0.0
2000-08-28,17.7,17.7,17.7,17.7,0,0,0.0
2000-09-04,17.7,17.7,17.7,17.7,0,0,0.0
2000-09-11,17.7,17.7,17.7,17.7,0,0,0.0
2000-09-18,17.7,17.7,17.7,17.7,0,0,0.0
2000-09-25,17.7,17.7,17.7,17.7,0,0,0.0
2000-10-02,17.7,17.7,17.7,17.7,0,0,0.0
2000-10-09,17.7,17.7,17.7,17.7,0,0,0.0
2000-10-16,17.7,17.7,17.7,17.7,0,0,0.0
2000-10-23,17.7,17.7,17.7,17.7,0,0,0.0
2000-10-30,17.7,17.7,17.7,17.7,0,0,0.0
2000-11-06,17.7,17.7,17.7,17.7,0,0,0.0
2000-11-13,17.7,17.7,17.7,17.7,0,0,0.0
2000-11-20,17.7,17.7,17.7,17.7,0,0,0.0
2000-11-27,17.7,17.7,17.7,17.7,0,0,0.0
2000-12-04,17.7,17.7,17.7,17.7,0,0,0.0
2000-12-11,17.7,17.7,17.7,17.7,0,0,0.0
2000-12-18,17.7,17.7,17.7,17.7,0,0,0.0
2000-12-25,17.7,17.7,17.7,17.7,0,0,0.0
2001-01-01,17.7,17.7,17.7,17.7,0,0,0.0
2001-01-08,17.7,17.7,17.7,17.7,0,0,0.0
2001-01-15,17.7,17.7,17.7,17.7,0,0,0.0
2001-01-22,17.7,17.7,17.7,17.7,0,0,0.0
2001-01-29,17.7,17.7,17.7,17.7,0,0,0.0
2001-02-05,17.7,17.7,17.7,17.7,0,0,0.0
2001-02-12,17.7,17.7,17.7,17.7,0,0,0.0
2001-02-19,17.7,17.7,17.7,17.7,0,0,0.0
2001-02-26,17.7,17.7,17.7,17.7,0,0,0.0
2001-03-05,17.7,17.7,17.7,17.7,0,0,0.0
2001-03-12,17.7,17.7,17.7,17.7,0,0,0.0
2001-03-19,17.7,17.7,17.7,17.7,0,0,0.0
2001-03-26,17.7,17.7,17.7,17.7,0,0,0.0
2001-04-02,17.7,17.7,17.7,17.7,0,0,0.0
2001-04-09,17.7,17.7,17.7,17.7,0,0,0.0
2001-04-16,17.7,17.7,17.7,17.7,0,0,0.0
2001-04-23,17.7,17.7,17.7,17.7,0,0,0.0
2001-04-30,17.7,17.7,17.7,17.7,0,0,0.0
2001-05-07,17.7,17.7,17.7,17.7,0,0,0.0
2001-05-14,17.7,17.7,17.7,17.7,0,0,0.0
2001-05-21,17.7,17.7,17.7,17.7,0,0,0.0
2001-05-28,17.7,17.7,17.7,17.7,0,0,0.0
2001-06-04,17.7,17.7,17.7,17.7,0,0,0.0
2001-06-11,17.7,17.7,17.7,17.7,0,0,0.0
2001-06-18,17.7,17.7,17.7,17.7,0,0,0.0
2001-06-25,17.7,17.7,17.7,17.7,0,0,0.0
2001-07-02,17.7,17.7,17.7,17.7,0,0,0.0
2001-07-09,17.7,17.7,17.7,17.7,0,0,0.0
2001-07-16,17.7,17.7,17.7,17.7,0,0,0.0
2001-07-23,17.7,17.7,17.7,17.7,0,0,0.0
2001-07-30,17.7,17.7,17.7,17.7,0,0,0.0
2001-08-06,17.7,17.7,17.7,17.7,0,0,0.0
2001-08-13,17.7,17.7,17.7,17.7,0,0,0.0
2001-08-20,17.7,17.7,17.7,17.7,0,0,0.0
2001-08-27,17.7,17.7,17.7,17.7,0,0,0.0
2001-09-03,17.7,17.7,17.7,17.7,0,0,0.0
2001-09-10,17.7,17.7,17.7,17.7,0,0,0.0
2001-09-17,17.7,17.7,4.76,4.76,551116,0,-12.94
2001-09-24,4.76,5.82,4.76,5.75,2661044,0,0.99
2001-10-01,5.75,5.82,4.93,5.2,2284826,0,-0.54
2001-10-08,4.86,5.87,4.86,5.55,3157839,0,0.35
2001-10-15,5.45,5.67,5.13,5.42,3204941,0,-0.12
2001-10-22,5.45,6.04,5.45,6.04,6394866,0,0.62
2001-10-29,6.04,6.29,5.72,6.24,7157964673,0,0.2
2001-11-05,6.41,7.79,6.41,7.62,16043502,0,1.38
2001-11-12,7.89,8.31,7.47,8.31,27925648,0,0.69
2001-11-19,8.61,9.1,7.55,7.96,27642696,0,-0.35
2001-11-26,8.01,8.66,7.84,8.06,36350630,0,0.1
2001-12-03,8.21,10.16,8.19,9.67,78020317,0,1.6
2001-12-10,9.37,11.02,9.3,9.3,24857276512,0,-0.37
2001-12-17,9.3,9.54,7.82,7.84,33160037,0,-1.45
2001-12-24,8.04,9.25,7.89,8.73,10755482841,0,0.89
2001-12-31,9.0,9.81,8.63,9.81,32727901,0,1.08
2002-01-07,10.48,11.47,10.09,10.09,81839394,0,0.27
2002-01-14,9.86,9.86,8.66,9.03,33605113,0,-1.06
2002-01-21,9.52,11.02,9.3,10.95,62974359,0,1.92
2002-01-28,11.29,11.71,10.18,10.46,24087521717,0,-0.49
2002-02-04,10.21,10.73,9.74,10.5,20448900,0,0.05
2002-02-11,10.5,10.5,10.5,10.5,0,0,0.0
2002-02-18,10.78,10.97,9.49,9.76,28066660,0,-0.74
2002-02-25,9.99,9.99,9.27,9.62,14221909,0,-0.15
2002-03-04,9.89,11.07,9.74,11.07,55490055,0,1.45
2002-03-11,11.71,12.7,11.49,11.81,16318651784,0,0.74
2002-03-18,11.81,13.19,11.1,12.82,53999917,0,1.01
2002-03-25,13.07,13.07,11.74,11.79,26805850,0,-1.04
2002-04-01,11.71,12.7,11.24,11.84,8146771542,0,0.05
2002-04-08,11.84,11.89,10.6,11.69,27029624,0,-0.15
2002-04-15,11.69,12.21,11.12,11.37,15793102629,0,-0.32
2002-04-22,11.56,11.66,11.07,11.22,19831680,0,-0.15
2002-04-29,10.85,11.1,9.25,9.79,11788528,0,-1.43
2002-05-06,9.39,9.57,8.58,9.32,4761014322,0,-0.47
2002-05-13,9.2,9.86,9.12,9.15,16820107,0,-0.17
2002-05-20,9.25,9.47,8.38,9.47,1590768982,0,0.32
2002-05-27,9.74,9.81,9.15,9.35,7754538,0,-0.12
2002-06-03,9.2,9.32,8.51,8.51,9352432,0,-0.84
2002-06-10,8.53,8.73,7.45,8.38,16693956,0,-0.12
2002-06-17,8.46,8.63,7.55,7.87,7117638,0,-0.52
2002-06-24,7.64,7.72,6.34,6.66,10602213,0,-1.21
2002-07-01,6.46,6.61,5.4,6.56,17466235,0,-0.1
2002-07-08,6.76,7.32,6.56,7.32,20937707,0,0.76
2002-07-15,7.15,7.52,6.78,6.83,7540068,0,-0.49
2002-07-22,6.53,8.19,6.31,7.57,8096482,0,0.74
2002-07-29,7.66,8.48,7.63,8.25,6339462,0,0.68
2002-08-05,7.86,7.86,7.08,7.37,5936534,0,-0.88
2002-08-12,7.5,8.09,7.24,8.02,7982307,0,0.65
2002-08-19,8.15,8.41,7.66,8.41,7222255,0,0.39
2002-08-26,8.32,8.48,7.53,7.7,5884563,0,-0.72
2002-09-02,7.27,7.7,6.98,7.27,3129888,0,-0.42
2002-09-09,7.27,8.45,7.17,8.25,11888159,0,0.98
2002-09-16,8.22,8.41,7.6,7.73,11983996,0,-0.52
2002-09-23,7.73,7.92,7.11,7.27,5732639,0,-0.46
2002-09-30,7.17,7.73,7.11,7.5,6550561,0,0.23
2002-10-07,7.37,7.7,6.98,7.17,4808267,0,-0.33
2002-10-14,7.24,8.58,7.11,8.58,2960704651,0,1.4
2002-10-21,8.58,9.42,8.32,8.97,38183105,0,0.39
2002-10-28,9.23,9.29,8.64,8.67,4206323352,0,-0.29
2002-11-04,8.84,9.36,8.67,9.13,15758827,0,0.46
2002-11-11,9.23,9.49,8.77,8.8,1759885774,0,-0.33
2002-11-18,8.84,8.84,8.02,8.09,6796298,0,-0.72
2002-11-25,7.83,8.48,7.83,8.48,6650525,0,0.39
2002-12-02,8.48,8.97,8.48,8.71,5319525,0,0.23
2002-12-09,8.84,9.1,8.32,8.41,994050628,0,-0.29
2002-12-16,8.45,8.48,7.99,8.38,2778800,0,-0.03
2002-12-23,8.38,8.51,8.15,8.45,3258163,0,0.07
2002-12-30,8.54,8.67,8.02,8.15,4728485,0,-0.29
2003-01-06,8.09,8.12,7.5,7.76,9532333,0,-0.39
2003-01-13,7.96,8.15,7.57,7.6,4954482,0,-0.16
2003-01-20,7.6,7.7,7.34,7.47,4442605,0,-0.13
2003-01-27,7.34,7.5,7.17,7.5,723781,0,0.03
2003-02-03,7.5,7.5,7.17,7.5,964902,0,0.0
2003-02-10,7.57,7.66,7.3,7.47,1819932,0,-0.03
2003-02-17,7.57,7.7,7.37,7.66,2265619,0,0.2
2003-02-24,7.79,7.79,7.24,7.47,376813452,0,-0.2
2003-03-03,7.5,7.7,7.17,7.34,634176670,0,-0.13
2003-03-10,7.34,7.37,7.04,7.11,3832068,0,-0.23
2003-03-17,7.11,8.25,6.91,7.83,14311524,0,0.72
2003-03-24,8.09,8.28,7.76,7.83,10388794,0,0.0
2003-03-31,7.7,7.96,7.47,7.89,1273481674,0,0.07
2003-04-07,7.96,8.41,7.79,8.19,13817544,0,0.29
2003-04-14,8.19,9.33,8.12,9.33,45653884,0,1.14
2003-04-21,9.42,9.98,8.25,8.51,48780235,0,-0.82
2003-04-28,8.32,9.13,7.99,8.71,7878643204,0,0.2
2003-05-05,8.8,9.59,8.54,8.84,42672254,0,0.13
2003-05-12,9.0,9.46,8.87,8.94,9305739728,0,0.1
2003-05-19,8.74,9.33,8.32,9.33,25508720,0,0.39
2003-05-26,9.56,10.57,9.49,9.72,57028502,0,0.39
2003-06-02,9.95,11.19,9.65,11.19,43684662,0,1.47
2003-06-09,11.19,11.51,10.63,11.09,45694058,0,-0.1
2003-06-16,11.09,12.56,10.76,12.07,45648162,0,0.98
2003-06-23,12.1,12.52,11.09,11.12,21028159,0,-0.95
2003-06-30,11.12,12.75,11.09,11.94,25971233,0,0.82
2003-07-07,12.23,12.69,10.92,11.58,45661335,0,-0.36
2003-07-14,11.74,12.82,11.64,11.97,56034830,0,0.39
2003-07-21,12.07,12.39,11.61,11.61,17299544,0,-0.36
2003-07-28,11.74,11.87,10.92,11.45,19954592,0,-0.16
2003-08-04,11.45,11.64,10.17,10.31,18602171,0,-1.14
2003-08-11,10.31,11.25,10.11,10.66,20644418,0,0.36
2003-08-18,10.66,12.76,10.66,12.24,27616326,0,1.58
2003-08-25,12.43,12.65,11.72,12.09,9585199,0,-0.15
2003-09-01,12.24,12.39,11.2,11.57,15177947,0,-0.52
2003-09-08,11.5,11.76,11.13,11.43,6043669,0,-0.15
2003-09-15,11.5,12.72,11.5,12.5,20203832,0,1.08
2003-09-22,12.35,12.8,12.09,12.46,5874348699,0,-0.04
2003-09-29,12.46,12.46,11.5,12.02,6143131,0,-0.45
2003-10-06,12.02,12.24,11.61,12.09,8205698,0,0.07
2003-10-13,12.09,12.65,11.87,12.39,9400740,0,0.3
2003-10-20,12.35,12.39,11.87,12.06,4922833,0,-0.33
2003-10-27,12.09,13.24,12.09,12.91,18650299,0,0.85
2003-11-03,12.95,13.43,12.87,13.1,14866105,0,0.19
2003-11-10,13.13,14.32,13.02,14.28,27482141,0,1.19
2003-11-17,14.13,14.58,13.1,13.5,6462476807,0,-0.78
2003-11-24,13.73,13.87,12.87,13.28,24098656,0,-0.22
2003-12-01,13.32,14.28,13.28,13.61,29303680,0,0.33
2003-12-08,13.61,13.65,13.02,13.13,9865416,0,-0.48
2003-12-15,13.32,13.32,12.43,12.61,1331729046,0,-0.52
2003-12-22,12.65,12.95,12.58,12.76,9361705651,0,0.15
2003-12-29,12.76,13.17,12.61,13.02,992454444,0,0.26
2004-01-05,13.06,13.43,12.87,13.1,23234338,0,0.07
2004-01-12,13.06,13.1,12.76,12.8,9881791,0,-0.3
2004-01-19,12.8,12.8,12.8,12.8,0,0,0.0
2004-01-26,12.8,13.47,12.61,13.43,7743234311,0,0.63
2004-02-02,13.47,13.5,12.76,12.76,15135469,0,-0.67
2004-02-09,12.84,13.02,12.43,12.46,8478835281,0,-0.3
2004-02-16,12.5,13.28,12.43,13.13,12063657620,0,0.67
2004-02-23,13.28,13.87,13.06,13.5,40719289,0,0.37
2004-03-01,13.61,13.95,13.28,13.36,44453371,0,-0.15
2004-03-08,13.5,13.54,13.17,13.28,11576911,0,-0.07
2004-03-15,13.39,13.65,12.61,12.72,5623299317,0,-0.56
2004-03-22,11.83,11.83,11.02,11.24,12698715,0,-1.48
2004-03-29,11.65,12.58,11.5,12.24,15734451,0,1.0
2004-04-05,12.39,13.32,12.28,13.1,11208632845,0,0.85
2004-04-12,13.99,15.4,13.99,14.54,61968659,0,1.45
2004-04-19,14.8,15.28,13.8,14.02,6059019657,0,-0.52
2004-04-26,13.91,14.28,12.43,12.61,5532507235,0,-1.41
2004-05-03,12.61,13.02,11.72,12.39,5057375145,0,-0.22
2004-05-10,12.13,12.32,11.13,11.17,9930929,0,-1.22
2004-05-17,11.02,11.57,9.68,11.39,31344164,0,0.22
2004-05-24,11.2,11.72,11.13,11.54,11945721,0,0.15
2004-05-31,11.54,11.54,10.13,10.57,6778067,0,-0.96
2004-06-07,10.61,11.13,10.5,10.72,4032762,0,0.15
2004-06-14,10.72,10.72,9.65,9.65,7314574,0,-1.08
2004-06-21,9.87,9.87,8.68,9.42,10720376,0,-0.22
2004-06-28,9.35,9.76,8.94,9.5,8264147,0,0.07
2004-07-05,9.09,10.24,8.9,10.24,9007028,0,0.74
2004-07-12,10.14,10.14,9.3,9.51,4105786,0,-0.73
2004-07-19,9.38,9.51,8.29,9.09,7464009,0,-0.42
2004-07-26,8.88,9.47,8.84,9.26,3197717,0,0.17
2004-08-02,9.26,10.02,9.01,9.72,5201882,0,0.46
2004-08-09,9.43,9.89,9.26,9.51,2684055,0,-0.21
2004-08-16,9.76,10.69,9.34,10.69,8468840,0,1.18
2004-08-23,10.81,10.94,10.39,10.39,7449261,0,-0.29
2004-08-30,10.31,10.52,9.89,10.18,5842611,0,-0.21
2004-09-06,10.1,10.31,9.72,10.18,10165840,0,0.0
2004-09-13,10.31,11.02,10.31,10.35,26451631,0,0.17
2004-09-20,10.52,10.81,10.1,10.52,8068254,0,0.17
2004-09-27,10.52,10.6,10.14,10.35,5268673,0,-0.17
2004-10-04,10.48,10.6,10.18,10.23,6699425,0,-0.13
2004-10-11,10.18,10.31,9.47,9.59,4356371,0,-0.63
2004-10-18,9.59,9.64,8.84,9.3,4530815,0,-0.29
2004-10-25,9.3,9.51,8.88,9.34,4766981,0,0.04
2004-11-01,9.34,9.85,8.84,9.8,8426538,0,0.46
2004-11-08,9.76,9.76,9.22,9.38,3200173,0,-0.42
2004-11-15,9.55,10.31,9.47,10.1,10600901,0,0.72
2004-11-22,9.89,10.06,9.13,9.43,6559380,0,-0.67
2004-11-29,9.34,9.38,8.42,8.63,9125312,0,-0.8
2004-12-06,8.58,9.09,8.54,8.71,4963896,0,0.08
